episode,reward,avg_reward,epsilon,duration
140,-244.95361818484963,-15384.731809113136,0.4957141369010505,5.079616546630859
141,-547.8523642554879,-15388.2670637821,0.4932355662165453,2.13655161857605
142,-2080.1655769258737,-14221.185256614115,0.4907693883854626,5.02385950088501
143,-243.96955900024625,-14220.364907680058,0.4883155414435353,3.496595621109009
144,-280.6899458564818,-14220.627095937896,0.4858739637363176,1.3003852367401123
145,-239.1108550924808,-14218.882046441073,0.483444593917636,1.3761084079742432
146,-255.3139928720892,-12776.930641094385,0.4810273709480478,2.4588027000427246
147,-279.27112763226035,-11712.429837746637,0.4786222340933075,0.7518136501312256
148,-178.0423281401396,-11700.532194222971,0.476229122922841,4.39367151260376
149,-427.3526769720018,-11698.85244622281,0.4738479773082268,3.712737560272217
150,-10836.410172410682,-11803.64798091072,0.4714787374216856,5.044801235198975
151,-1394.3982613909989,-11813.408058089404,0.4691213437345772,4.986209392547607
152,-272.2579787358642,-11812.90729168476,0.4667757370159043,4.998065948486328
153,-535.017449798435,-11813.969804768614,0.4644418583308248,4.997154951095581
154,-712.0482909075915,-10723.717452508532,0.4621196490391707,5.105273723602295
155,-426.9085839699953,-10721.60143297696,0.4598090507939749,5.06232500076294
156,-297.1892777524888,-10721.413416463602,0.457510005540005,5.035228252410889
157,-190.36301372125743,-10721.691162340856,0.4552224555123049,0.568382740020752
158,-624.729342449829,-10727.467188799426,0.4529463432347434,5.022994041442871
159,797.6093327641487,-10717.568881759838,0.4506816115185697,0.3984987735748291
160,-521.9671467658133,-10717.287400991198,0.4484282034609769,5.0314600467681885
161,-394.40350108910354,-10718.085669497996,0.446186062443672,5.006483793258667
162,-323.09174690619113,-10719.13390373256,0.4439551321314536,5.025616407394409
163,-1064.1703210122882,-10721.055901404095,0.4417353564707963,5.041625022888184
164,777.4145955786109,-10709.054729536669,0.4395266796884423,0.4221100807189941
165,-471.7063185567037,-10711.206770353036,0.4373290462900001,5.025520324707031
166,-41224.12901116572,-11119.301261928891,0.4351424010585501,5.026799201965332
167,-1573.6140705145897,-10297.246333394743,0.4329666890532573,5.064558267593384
168,-330.1577403381467,-10291.314513534033,0.430801855607991,1.4989135265350342
169,-854.4497375592589,-9331.24499345086,0.4286478463299511,5.097198247909546
170,-402.8276512393728,-8552.151160436239,0.4265046070983013,2.9900810718536377
171,-519.8932056579739,-8553.38892232439,0.4243720840628098,3.18282437324524
172,-333.5336460111663,-7500.0883441368605,0.4222502236424958,5.05478048324585
173,-11.12944426778705,-7498.579545476794,0.4201389725242833,5.0423502922058105
174,764.2344553858042,-7485.93409435632,0.4180382776616619,0.4656400680541992
175,-276.74947866350414,-7480.928032025538,0.4159480862733536,5.049854516983032
176,-135.29155765324833,-7476.635917129248,0.4138683458419868,0.6912944316864014
